Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                     SIGMY
Superelement       Element    Element average value
R200                  26996     -1.11579
R200                  26997      1.49334
R200                  26998      1.97286
R200                  26999     -6.31527
R200                  27000    0.0690797
R200                  27001      3.67282
R200                  27002        5.058
R200                  27003     -2.07878
R200                  27004    -0.344484
R200                  27005     -0.23488
R200                  27006      -0.9784
R200                  27007     -1.37393
R200                  27008    -0.476364
R200                  27009    -0.358233
R200                  27010      -1.0333
R200                  27011     -3.59017
R200                  27012     -1.22589
R200                  27013     -0.76493
R200                  27014     -1.53123
R200                  27015     -2.20378
R200                  27016     -1.15023
R200                  27017     -1.00779
R200                  27018     -1.93636
R200                  27019      -4.5041
R200                  27020     -2.53612
R200                  27021     -1.74126
R200                  27022      -1.8701
R200                  27023     -2.24717
R200                  27024     -1.76583
R200                  27025     -1.71602
R200                  27026     -2.14845
R200                  27027     -5.12038
R200                  27028      -3.6808
R200                  27029     -2.75468
R200                  27030     -2.29082
R200                  27031      -2.3502
R200                  27032     -2.19064
R200                  27033     -2.14715
R200                  27034     -2.23083
R200                  27035     -5.53027
R200                  27036     -4.39296
R200                  27037     -3.42027
R200                  27038      -2.6616
R200                  27039     -2.36244
R200                  27040     -2.40853
R200                  27041      -2.3937
R200                  27042     -2.35427
R200                  27043      10.0331
R200                  27044      16.4854
R200                  27045      4.29804
R200                  27046    0.0515679
R200                  27047     -1.27762
R200                  27048     -2.26996
R200                  27049     0.581522
R200                  27050      2.45451
R200                  27051     0.378598
R200                  27052     0.285982
R200                  27053      1.27336
R200                  27054      2.27037
R200                  27055     -5.72161
R200                  27056     -4.76199
R200                  27057     -3.76817
R200                  27058     -2.89993
R200                  27059     -2.34001
R200                  27060     -2.53159
R200                  27061     -2.59051
R200                  27062     -2.48576
R200                  27063       4.3863
R200                  27064      7.43036
R200                  27065     0.435786
R200                  27066     -5.52894
R200                  27067     -2.34059
R200                  27068      -2.5854
R200                  27069     -2.67396
R200                  27070     -2.56317
R200                  27071     0.841792
R200                  27072      1.12536
R200                  27073      1.64043
R200                  27074      2.25672
R200                  27075    -0.944092
R200                  27076     0.236194
R200                  27077     -3.74081
R200                  27078     -9.68453
R200                  27079     -5.72313
R200                  27080     -4.92325
R200                  27081     -3.98858
R200                  27082     -3.08612
R200                  27083     -5.58704
R200                  27084     -4.94989
R200                  27085     -4.14158
R200                  27086     -3.21333
R200                  27087     -2.38053
R200                  27088     -2.60713
R200                  27089     -2.66567
R200                  27090     -2.60314
R200                  27091     0.935933
R200                  27092      1.31083
R200                  27093      1.74306
R200                  27094      2.19406
R200                  27095     -3.65252
R200                  27096     -4.25397
R200                  27097     -7.69323
R200                  27098     -13.0973
R200                  27099     -5.43587
R200                  27100     -4.87415
R200                  27101      -4.1066
R200                  27102     -3.20342
R200                  27103     -2.38736
R200                  27104     -2.63112
R200                  27105     -2.72761
R200                  27106     -2.68963
R200                  27107     -5.39357
R200                  27108     -7.01845
R200                  27109     -10.5126
R200                  27110     -15.6454
R200                  27111     0.997908
R200                  27112      1.32917
R200                  27113      1.70157
R200                  27114      2.07206
R200                  27115     -5.27302
R200                  27116     -4.72786
R200                  27117     -3.96592
R200                  27118     -3.10403
R200                  27119     -2.38608
R200                  27120      -2.6691
R200                  27121     -2.81874
R200                  27122     -2.79577
R200                  27123     0.989852
R200                  27124      1.28156
R200                  27125      1.60549
R200                  27126      1.92291
R200                  27127     -6.27422
R200                  27128     -8.55395
R200                  27129     -12.2158
R200                  27130     -17.3221
R200                  27131     -5.03203
R200                  27132     -4.56934
R200                  27133      -3.8989
R200                  27134     -3.05408
R200                  27135     -2.45733
R200                  27136     -2.69478
R200                  27137     -2.80525
R200                  27138     -2.81266
R200                  27139     -6.55592
R200                  27140     -9.18372
R200                  27141     -12.9235
R200                  27142     -17.9594
R200                  27143     0.925254
R200                  27144     0.970726
R200                  27145      1.20776
R200                  27146      1.47943
R200                  27147      1.75296
R200                  27148      1.56807
R200                  27149      1.33483
R200                  27150      1.11269
R200                  27151     -4.83062
R200                  27152     -4.40023
R200                  27153     -3.75097
R200                  27154     -2.91967
R200                  27155     -2.49811
R200                  27156     -2.71582
R200                  27157     -2.83496
